"crypto_name","count(trade_date)"
"BowsCoin","1466"
"Brazilian Digital Token","436"
"Braziliex Token","75"
"Bread","1023"
"Breezecoin","372"
"BriaCoin","1157"
"Brickblock","788"
"Bridge Oracle","43"
"Bridge Protocol","802"
"BridgeCoin","784"
"BritCoin","914"
"BrokerNekoNetwork","525"
"Brr","61"
"Bubble","1013"
"Buccaneer V2","21"
"BuckHathCoin","542"
"Budbo","628"
"Buggyra Coin Zero","734"
"Building Cities Beyond Blockchain","305"
"Bulleon","616"
"BumbaCoin","1040"
"BunnyToken","714"
"Burency","61"
"Burger Swap","22"
"Burger money","44"
"Burst","1751"
"Business Credit Alliance Chain","682"
"Business Credit Substitute","385"
"Buxcoin","247"
"BuySell","315"
"BuzzCoin","1125"
"Buzzshow","170"
"Bytecoin","1748"
"Bytom","1157"
"Bytus","74"
"CACHE Gold","85"
"CAPITAL X CELL","342"
"CARAT","729"
"CARDbuyers","383"
"CAT.trade Protocol","62"
"CBC.network","87"
"CBCCOIN","2"
"CBDAO","75"
"CCUniverse","318"
"CDMCOIN","263"
"CDX Network","593"
"CEDARS","62"
"CEDEX Coin","755"
"CEEK VR","853"
"CENTERCOIN","636"
"CFun","991"
"CHADS VC","47"
"CHEX","638"
"CIChain","55"
"CITEX Token","181"
"CK USD","915"
"CMITCOIN","721"
"CNNS","498"
"COIL","61"
"COINBIG","265"
"COMSA [ETH]","1004"
"COMSA [XEM]","989"
"CONTRACOIN","227"
"CONUN","499"
"COPYTRACK","704"
"CORN","53"
"COS","354"
"COST COIN+","75"
"COTI","498"
"COVA","651"
"COVIR.IO","51"
"CPChain","983"
"CPUchain","412"
"CRDT","86"
"CREA","54"
"CROAT","741"
"CRPT","459"
"CRYPTO20","994"
"CRYPTOBUCKS","298"
"CRYPTOFOREX","75"
"CSPC","78"
"CUTcoin","344"
"CVCoin","1178"
"CWV Chain","698"
"CXN Network","21"
"CY Finance","20"
"CYBR Token","375"
"CYCLEAN","744"
"Cabbage","1333"
"Cai Token","55"
"CaixaPay","390"
"Cajutel","612"
"Californium","1478"
"Callisto Network","877"
"CaluraCoin","292"
"Camouflage.eth","61"
"Camp","5"
"CanYaCoin","1008"
"CannabisCoin","1749"
"Cannadrix","84"
"Cannation","1126"
"CanonChain","799"
"CapdaxToken","594"
"Cappasity","1037"
"Capricoin+","1748"
"CarBlock","607"
"Carboncoin","1237"
"Cardano","1105"
"Cardstack","829"
"Carebit","762"
"CargoX","986"
"CariNet","622"
"Carlive Chain","409"
"Carrot","52"
"Carry","509"
"Cartesi","191"
"Cash Global Coin","78"
"CashBackPro","86"
"CashBet Coin","736"
"Cashaa","434"
"Cashbery Coin","788"
"Cashcoin","1203"
"Cashhand","193"
"Cashpayz Token","414"
"CasinoCoin","1698"
"Caspian","557"
"Castle","748"
"Castweet","204"
"Cat Token","21"
"Catex Token","368"
"CatoCoin","465"
"Cazcoin","439"
"Ccore","1024"
"CelCoin","201"
"Celer Network","569"
"Celeum","240"
"CellETF","20"
"Celo","151"
"Celo Dollar","26"
"Celsius","726"
"Centaur","15"
"Centaure","636"
"Centauri","518"
"Centrality","946"
"Centric Cash","85"
"Centurion","1310"
"CertiK","6"
"Chad Link Set","66"
"Chain Games","62"
"ChainX","440"
"ChainZ Arena","85"
"Chainlink","1122"
"Chainpay","215"
"Change","1086"
"ChangeNOW Token","523"
"Charg Coin","193"
"Charged Finance","4"
"ChartEx","42"
"ChatCoin","997"
"Cheesecoin","674"
"Cherry Token","75"
"Chess Coin","79"
"ChessCoin","1382"
"Chi Gastoken","74"
"Chicken","21"
"Chiliz","470"
"Chimpion","521"
"Chonk","3"
"Chromia","499"
"Chrono.tech","247"
"ChronoCoin","369"
"Chronologic","1090"
"Cicoin","46"
"Cindicator","1100"
"Cipher Core Token","87"
"Circuits of Value","62"
"Citadel","1268"
"CitiOs","254"
"City Coin","274"
"Civic","1186"
"Civitas","723"
"Clams","1751"
"Claymore","101"
"ClearCoin","458"
"ClearPoll","1064"
"Clipper Coin","787"
"CloakCoin","1750"
"Cloudbit Token","18"
"Cloudbric","615"
"ClubCoin","1738"
"CoFiX","14"
"CoTrader","574"
"Cobinhood","1103"
"Cobrabytes","365"
"Cocos-BCX","418"
"Codeo Token","84"
"Cofinex Coin","86"
"Coin Artist","53"
"Coin Controller Cash","180"
"Coin Lion","680"
"Coin2.1","1558"
"Coin2Play","385"
"CoinDeal Token","310"
"CoinEx Token","628"
"CoinFi","980"
"CoinHe Token","364"
"CoinLoan","83"
"CoinMeet","971"
"CoinMetro Token","438"
"CoinPoker","948"
"CoinUs","655"
"Coinchase Token","428"
"Coindom","283"
"Coineal Token","497"
"Coinlancer","995"
"Coinonat","1224"
"CoinonatX","655"
"Coinsbit Token","290"
"Coinsto","84"
"Coinsuper Ecosystem Network","682"
"Cointorox","551"
"Coinzo Token","76"
"Coinzoom","3"
"Colletrix","379"
"Color Platform","378"
"ColossusXT","1110"
"Colu Local Network","849"
"Combine.finance","21"
"Comet","1490"
"Commerce Data Connection","710"
"CommerceBlock","907"
"Commercium","754"
"Community Token","74"
"CommunityGeneration","594"
